Depth;ProjArea;StraightLength;StraightWidth;WLRatio
10.5;0.0302;0.5613;0.0626;0.111526813
10.5;0.0103;0.2337;0.0584;0.249893025
10.5;0.0521;0.5081;0.1477;0.290690809
10.5;0.0656;0.6433;0.139;0.216073372
10.5;0.0257;0.2411;0.1631;0.676482787
10.5;0.0053;0.1602;0.0584;0.36454432
10.5;0.0229;0.2185;0.14;0.640732265
10.5;0.0169;0.3167;0.073;0.230502052
10.5;0.0272;0.2095;0.1692;0.807637232
10.5;0.0012;0.056;0.028;0.5
10.5;0.0389;0.3012;0.2127;0.706175299
10.5;0.0068;0.0991;0.0869;0.876892028
10.5;0.0183;0.1702;0.1417;0.832549941
10.5;0.0042;0.1382;0.0481;0.34804631
10.5;0.0359;0.2458;0.2063;0.839300244
10.5;0.0816;0.9759;0.1269;0.130033815
10.5;0.0197;0.5232;0.0674;0.12882263
10.5;0.025;0.3911;0.0885;0.226284838
10.5;0.0274;0.5231;0.0807;0.154272606
10.5;0.0007;0.056;0.0202;0.360714286
10.5;0.0395;0.4392;0.1288;0.293260474
10.5;0.0072;0.1881;0.0653;0.347155768
10.5;0.0252;0.5159;0.073;0.141500291
10.5;0.023;0.3279;0.1051;0.32052455
10.5;0.0584;0.3936;0.1971;0.500762195
10.5;0.0668;0.9665;0.0911;0.094257631
10.5;0.0186;0.4867;0.0507;0.104170947
11.5;0.0839;0.5754;0.1954;0.339589851
11.5;0.0272;0.3474;0.1032;0.297063903
11.5;0.0046;0.1102;0.0551;0.5
11.5;0.092;0.9559;0.1452;0.151898734
11.5;0.1293;0.5928;0.2824;0.476383266
11.5;0.0404;0.8897;0.0618;0.069461616
11.5;0.0279;0.5488;0.0717;0.130648688
11.5;0.0889;0.8266;0.1427;0.17263489
11.5;0.0041;0.1205;0.0551;0.457261411
11.5;0.0636;0.3365;0.2691;0.799702823
11.5;0.0082;0.1756;0.0779;0.443621868
11.5;0.3628;0.9378;0.5662;0.603753466
11.5;0.0305;0.2712;0.1808;0.666666667
11.5;0.0183;0.2332;0.1305;0.559605489
11.5;0.3563;1.7647;0.2936;0.166373888
11.5;0.0388;0.7881;0.0674;0.085522142
11.5;0.0005;0.0571;0.0168;0.294220665
11.5;0.0253;0.6506;0.0626;0.096218875
11.5;0.0041;0.0876;0.0751;0.857305936
11.5;0.0498;0.6395;0.0991;0.154964816
11.5;0.0014;0.0904;0.025;0.276548673
11.5;0.0229;0.479;0.0676;0.141127349
11.5;0.0994;1.1632;0.1141;0.098091472
11.5;0.0445;0.5956;0.1051;0.176460712
11.5;0.0322;0.3165;0.1417;0.447709321
12.5;0.0801;0.4289;0.2533;0.590580555
12.5;0.0033;0.0815;0.0516;0.633128834
