"Site","Depth","ProjArea","StraightLength","StraightWidth","WLRatio","Volume","Age","keep"
"BOC",0,0.0227,0.3404,0.0929,0.2729,1,2020.9,TRUE
"BOC",0,0.0227,0.205,0.1666,0.8127,1,2020.9,TRUE
"BOC",0,0.023,0.4783,0.1245,0.2603,1,2020.9,TRUE
"BOC",0,0.0231,0.2662,0.1138,0.4275,1,2020.9,TRUE
"BOC",0,0.0232,0.2533,0.1238,0.4887,1,2020.9,TRUE
"BOC",0,0.0232,0.2116,0.1727,0.8162,1,2020.9,TRUE
"BOC",0,0.0232,0.2587,0.1349,0.5215,1,2020.9,TRUE
"BOC",0,0.0237,0.4833,0.0648,0.1341,1,2020.9,TRUE
"BOC",0,0.0239,0.2234,0.1466,0.6562,1,2020.9,TRUE
"BOC",0,0.0241,0.3075,0.1057,0.3437,1,2020.9,TRUE
"BOC",0,0.0242,0.3395,0.0971,0.286,1,2020.9,TRUE
"BOC",0,0.0246,0.3767,0.0942,0.2501,1,2020.9,TRUE
"BOC",0,0.0253,0.2889,0.1049,0.3631,1,2020.9,TRUE
"BOC",0,0.0253,0.2654,0.1654,0.6232,1,2020.9,TRUE
"BOC",0,0.0253,0.2827,0.1131,0.4001,1,2020.9,TRUE
"BOC",0,0.0254,0.3529,0.0853,0.2417,1,2020.9,TRUE
"BOC",0,0.0255,0.5778,0.0816,0.1412,1,2020.9,TRUE
"BOC",0,0.0258,0.2415,0.1333,0.552,1,2020.9,TRUE
"BOC",0,0.0262,0.4689,0.079,0.1685,1,2020.9,TRUE
"BOC",0,0.027,0.3626,0.09,0.2482,1,2020.9,TRUE
"BOC",0,0.0278,0.2742,0.1273,0.4643,1,2020.9,TRUE
"BOC",0,0.0281,0.3584,0.0911,0.2542,1,2020.9,TRUE
"BOC",0,0.0281,0.2486,0.1583,0.6368,1,2020.9,TRUE
"BOC",0,0.0284,0.2735,0.1536,0.5616,1,2020.9,TRUE
"BOC",0,0.0285,0.3558,0.1031,0.2898,1,2020.9,TRUE
"BOC",0,0.0285,0.2882,0.1171,0.4063,1,2020.9,TRUE
"BOC",0,0.0286,0.2424,0.1668,0.6881,1,2020.9,TRUE
"BOC",0,0.029,0.3416,0.1167,0.3416,1,2020.9,TRUE
